Facility,Year,Month,Sludge Digested (wet tons),Food Scraps Digested (wet tons),RNG Production (MMBtu),RNG System Uptime (%),Flared Biogas (MSCF),Reduction in Flaring (%)
Newtown Creek,2023,April,62389,6125,15805,0.78,11938,0.56
Newtown Creek,2023,May,64188,6702,12272,0.52,13970,0.46
Newtown Creek,2023,June,57522,6260,10822,0.63,9391,0.53
Newtown Creek,2023,July,70135,5144,12914,0.88,12683,0.5
Newtown Creek,2023,August,67174,6117,5491,0.35,20449,0.21
Newtown Creek,2023,September,65318,5731,0,0,16477,0
Newtown Creek,2023,October,71262,6626,0,0,17794,0
Newtown Creek,2023,November,72141,6359,719,0.05,19143,0.03
Newtown Creek,2023,December,80810,6116,9693,0.57,6808,0.58
Newtown Creek,2024,January,64282,6300,14230,0.68,5679,0.71
Newtown Creek,2024,February,49764,6691,21017,1,1959,0.91
Newtown Creek,2024,March,62679,6642,17707,0.75,7549,0.69
Newtown Creek,2024,April,53087,5477,24848,0.92,2605,0.9
Newtown Creek,2024,May,67678,6223,28983,0.95,3828,0.88
Newtown Creek,2024,June,66859,5641,25238,0.92,2797,0.9
Newtown Creek,2024,July,74646,5388,23936,0.93,1680,0.93
Newtown Creek,2024,August,88043,4020,17972,0.81,4013,0.81
Newtown Creek,2024,September,68431,4349,24363,0.95,1134,0.95
Newtown Creek,2024,October,62654,6074,24396,0.82,8906,0.73
Newtown Creek,2024,November,58653,5670,28595,0.96,4537,0.86
Newtown Creek,2024,December,75537,5473,22870,0.76,10163,0.68
Newtown Creek,2025,January,67457,5200,12931,0.7,14805,0.46
Newtown Creek,2025,February,48510,4913,20944,0.81,12141,0.62
Newtown Creek,2025,March,66213,5245,26309,0.87,11719,0.68
Newtown Creek,2025,April,61835,5014,28608,0.99,2829,0.91
Newtown Creek,2025,May,65961,6227,29575,0.96,,
Newtown Creek,2025,June,59890,4746,24581,0.89,6092,0.8
